Title,Director,Cast(Subject of documentary),Genre,Notes
A Nightmare on Elm Street,Samuel Bayer,"Jackie Earle Haley, Rooney Mara, Thomas Dekker, Kellan Lutz, Katie Cassidy, Connie Britton,Clancy Brown",Horror,"New Line Cinema,Platinum Dunes"
,,,,Based on the 1984 film of the same name.
The Other Guys,Adam McKay,"Samuel L. Jackson, Mark Wahlberg, Will Ferrell, Dwayne Johnson, Eva Mendes, Anne Heche,Michael Keaton, Steve Coogan, Ray Stevenson",Action comedy,Columbia Pictures
Our Family Wedding,Rick Famuyiwa,"Forest Whitaker, America Ferrera, Carlos Mencia, Regina King, Lance Gross",Comedy,Fox Searchlight Pictures
Paper Man,Kieran and Michelle Mulroney,"Jeff Daniels, Emma Stone, Ryan Reynolds, Lisa Kudrow",Comedy-drama,MPI Media Group
Paranormal Activity 2,Tod Williams,"Katie Featherston, Micah Sloat, Sprague Grayden, Molly Ephraim",Horror,Paramount Pictures
,,,,Preceded by Paranormal Activity (2007)
Passion Play,Mitch Glazer,"Mickey Rourke, Megan Fox, Bill Murray, Kelly Lynch",Drama,Annapurna Productions
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Rosario Dawson, Steve Coogan, Uma Thurman, Pierce Brosnan, Sean Bean","Adventure, Family","20th Century Fox, Fox 2000 Pictures"
,,,,Based on The Lightning Thief by Rick Riordan
The Perfect Game,William Dear,"Clifton Collins, Jr., Cheech Marin, Emilie de Ravin, Moises Arias, Jake T. Austin, Jansen Panettiere, Lou Gossett, Jr., Bruce McGill",Drama,IndustryWorks
,,,,Based on the book of the same name by W. William Winokur
Piranha 3-D,Alexandre Aja,"Elisabeth Shue, Adam Scott, Jerry O'Connell, Ving Rhames, Jessica Szohr, Steven R. McQueen, with Christopher Lloyd, and Richard Dreyfuss, Kelly Brook, Riley Steele, Ricardo Chavira, Paul Sheer",Horror,Dimension Films. Based on the 1978 film of the same name
Please Give,Nicole Holofcener,"Catherine Keener, Amanda Peet, Oliver Platt, Rebecca Hall, Ann Guilbert, Kevin Corrigan,Sarah Steele",Dark comedy,Sony Pictures Classics
Preacher's Kid,Stan Foster,"LeToya Luckett, Rae'Ven Larrymore Kelly, Kierra Sheard, Clifton Powell, Gregory Alan Williams",Drama,Gener8Xion Entertainment
Predators,Nimrod Antal,"Adrien Brody, Topher Grace, Alice Braga, Walton Goggins, Oleg Taktarov, Louis Ozawa Changchien, Mahershalalhashbaz Ali, Laurence Fishburne, Danny Trejo",Sci-fi horror,"20th Century Fox,Troublemaker Studios"
,,,,Preceded by Predator 2(1990)
Prince of Persia: The Sands of Time,Mike Newell,"Jake Gyllenhaal, Ben Kingsley, Gemma Arterton, Alfred Molina","Action-adventure, Fantasy",Walt Disney Pictures
,,,,Based on the video gameof the same name fromUbisoft.
Rabbit Hole,John Cameron Mitchell,"Nicole Kidman, Aaron Eckhart, Dianne Wiest, Tammy Blanchard, Miles Teller, Giancarlo Esposito, Jon Tenney, Sandra Oh",Drama,Lionsgate
,,,,Based on the 2007 Tony award-winning play of the same name by David Lindsay-Abaire
Ramona and Beezus,Elizabeth Allen,"Joey King, Selena Gomez, John Corbett, Bridget Moynahan, Ginnifer Goodwin, Josh Duhamel,Sandra Oh","Comedy, Family","20th Century Fox,Walden Media"
,,,,Based on Beezus and Ramona by Beverly Cleary
The Rebound,Bart Freundlich,"Catherine Zeta-Jones, Justin Bartha, Jordan Carlos, Kelly Gould, Art Garfunkel",romantic comedy,Film Department
Red,Robert Schwentke,"Bruce Willis, Morgan Freeman, John Malkovich, Helen Mirren, Karl Urban, Mary-Louise Parker,Brian Cox, Julian McMahon, Richard Dreyfuss",Action comedy,Summit Entertainment
,,,,Based on the graphic mini-series of the same name by Warren Ellis andCully Hamner
Remember Me,Allen Coulter,"Robert Pattinson, Emilie de Ravin, Chris Cooper, Lena Olin, Pierce Brosnan",Romantic drama,Summit Entertainment
Repo Men,Miguel Sapochnik,"Jude Law, Forest Whitaker, Liev Schreiber, Alice Braga, Carice van Houten, Chandler Canterbury","Action thriller, Science fiction",Universal Pictures
Resident Evil: Afterlife,Paul W. S. Anderson,"Milla Jovovich, Ali Larter, Kim Coates, Shawn Roberts, Sergio Peris-Mencheta, Spencer Locke,Boris Kodjoe, Wentworth Miller","Action horror, Science fiction",Screen Gems
,,,,Preceded by Resident Evil: Extinction (2007)
Robin Hood,Ridley Scott,"Russell Crowe, Cate Blanchett, William Hurt, Mark Strong, Mark Addy, Oscar Isaac, Danny Huston, Eileen Atkins, Max von Sydow",Action-adventure,Universal Pictures
The Romantics,Galt Niederhoffer,"Katie Holmes, Josh Duhamel, Anna Paquin, Malin Akerman, Adam Brody, Dianna Agron, Jeremy Strong, Rebecca Lawrence, with Candice Bergen and Elijah Wood",Romantic comedy,"Four of a Kind, Paramount Famous Productions. Based upon the novel of the same name by Galt Niederhoffer"
The Runaways,Floria Sigismondi,"Kristen Stewart, Dakota Fanning, Michael Shannon, Scout Taylor-Compton, Alia Shawkat","Biography, Drama",Apparation
Saint John of Las Vegas,Hu? Rhodes,"Steve Buscemi, Romany Malco, Peter Dinklage, Emmanuelle Chriqui, Tim Blake Nelson, Sarah Silverman",Comedy,IndieVest Pictures
Salt,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor",Action thriller,Columbia Pictures
Saw VII,Kevin Greutert,"Tobin Bell, Costas Mandylor, Cary Elwes, Betsy Russell, Sean Patrick Flannery",Horror,Lionsgate
,,,,Preceded by Saw VI(2009)
,,,,Last installment in Saw franchise
Scott Pilgrim vs. the World,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Alison Pill,Mark Webber, Johnny Simmons, Brandon Routh, Jason Schwartzman, Mae Whitman, Brie Larson, Aubrey Plaza, Tennessee Thomas","Action, Romantic comedy",Universal Pictures
,,,,Based on the Scott Pilgrim novels by Bryan Lee O'Malley
Secretariat,Randall Wallace,"Diane Lane, John Malkovich, Dylan Walsh, James Cromwell, Kevin Connelly, Scott Glenn","Bio-pic, Drama",Walt Disney Pictures
Sex and the City 2,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, John Corbett, Chris Noth, David Eigenberg, Evan Handler, Jason Lewis, Lynn Cohen",Romantic comedy,"Warner Bros. Pictures,New Line Cinema"
,,,,Preceded by Sex and the City: The Movie (2008)
She's Out of My League,Jim Field Smith,"Jay Baruchel, Alice Eve, T. J. Miller, Mike Vogel, Nate Torrence, Krysten Ritter, Geoff Stults,Lindsay Sloane",Romantic comedy,"Paramount Pictures,DreamWorks Pictures"
Shrek Forever After,Mike Mitchell,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Walt Dohrn, Julie Andrews, John Cleese","Family, Fantasy","DreamWorks Animation,Paramount Pictures"
,,,,Preceded by Shrek the Third (2007)
Shutter Island,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Patricia Clarkson, Emily Mortimer, Ted Levine, John Carroll Lynch, Elias Koteas, Jackie Earle Haley, and Max von Sydow","Crime thriller, Drama",Paramount Pictures
,,,,Based on the novel of the same name by Dennis Lehane
Skyline,Brothers Strause,"Eric Balfour, Scottie Thompson, Donald Faison, David Zayas, Brittany Daniel, Neil Hopkins","Sci-fi, Thriller","Universal Pictures,Relativity Media"
Small Town Saturday Night,Ryan Craig,"Chris Pine, Shawn Christian, John Hawkes, Bre Blair, Muse Watson, Robert Pine, Brent Briscoe,Lin Shaye",Drama,Direct-to-DVD
The Social Network,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, Brenda Song, Rooney Mara, Dustin Fitzsimons, Joseph Mazzello, Rashida Jones",Drama,"Columbia Pictures,Relativity Media"
,,,,Adapted from The Accidental Billionaires byBen Mezrich
Solitary Man,"Brian Koppelman,David Levien","Michael Douglas, Mary-Louise Parker, Jenna Fischer, Jesse Eisenberg, Imogen Poots, withSusan Sarandon, and Danny DeVito",Dramedy,"Anchor Bay Films, Millennium Films"
Somewhere,Sofia Coppola,"Stephen Dorff, Elle Fanning, Benicio del Toro, Michelle Monaghan, Chris Pontius, Simona Ventura",Drama,Focus Features
The Sorcerer's Apprentice,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci","Adventure, Comedy, Fantasy",Walt Disney Pictures
Splice,Vincenzo Natali,"Adrien Brody, Sarah Polley",Sci-fi,Warner Bros. Pictures
The Spy Next Door,Brian Levant,"Jackie Chan, Amber Valletta, Madeline Carroll, Will Shadley, Magnús Scheving, Billy Ray Cyrus,George Lopez","Action comedy, Family","Lionsgate, Relativity Media"
Step Up 3D,Jon Chu,"Rick Malambri, Adam G. Sevani, Sharni Vinson, Alyson Stoner","Dance, Drama, Romance","Summit Entertainment,Touchstone Pictures"
,,,,Preceded by Step Up 2: The Streets (2008)
Stone,John Curran,"Robert De Niro, Edward Norton, Milla Jovovich",Thriller,Overture Films
The Switch,Josh Gordon and Will Speck,"Jennifer Aniston, Jason Bateman, Patrick Wilson, Jeff Goldblum, Juliette Lewis",Romantic comedy,Miramax Films
,,,,Based on Baster byJeffrey Eugenides
Takers,John Luessenhop,"Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown,Hayden Christensen, Zoe Saldana","Action, Crime drama",Screen Gems
Tangled,"Byron Howard,Nathan Greno","Mandy Moore, Zachary Levi, Donna Murphy, Brad Garrett, Ron Perlman, M. C. Gainey, Jeffrey Tambor, Peter Sallis, Paul F. Tompkins","Animated, Family","Walt Disney Pictures,Walt Disney Animation Studios"
The Tempest,Julie Taymor,"Helen Mirren, David Strathairn, Djimon Hounsou, Russell Brand, Reeve Carney, Tom Conti,Chris Cooper, Alan Cumming, Felicity Jones, Alfred Molina, Ben Whishaw",Romance,"Touchstone Pictures,Miramax Films"
,,,,Based on The Tempestby William Shakespeare
Tooth Fairy,Michael Lembeck,"Dwayne Johnson, Ashley Judd, Billy Crystal, Julie Andrews, Stephen Merchant, Ryan Sheckler","Family, Fantasy",20th Century Fox
The Town,Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Blake Lively, Jeremy Renner, Titus Welliver, Pete Postlethwaite, Chris Cooper, Slaine",Crime drama,Warner Bros. Based onPrince of Thieves byChuck Hogan
The Tourist,Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany, Rufus Sewell, Timothy Dalton, Steven Berkoff","Dramedy, Thriller",Columbia Pictures
,,,,Based on Anthony Zimmer by Jérôme Salle
Toy Story 3,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn,John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Laurie Metcalf, Blake Clark, Teddy Newton, Bud Luckey, Timothy Dalton, Lori Alan, Kristen Schaal, Jeff Garlin, Bonnie Hunt, John Cygan, Jeff Pidgeon, Whoopi Goldberg, Jack Angel, R. Lee Ermey, Jan Rabson, Richard Kind",Family,"Walt Disney Pictures,Pixar Animation Studios"
,,,,Preceded by Toy Story(1995) and Toy Story 2(1999)
Tron: Legacy,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Bruce Boxleitner, Michael Sheen, Olivia Wilde, Beau Garrett, John Hurt",Science fiction,Walt Disney Pictures
,,,,Preceded by Tron (1982)
True Grit,Joel and Ethan Coen,"Jeff Bridges, Matt Damon, Josh Brolin, Barry Pepper, and Hailee Steinfeld",Western,Paramount Pictures
,,,,Based on the novel of the same name by Charles Portis
Twelve,Joel Schumacher,"Chace Crawford, Rory Culkin, Esti Ginzburg, Curtis ""50 Cent"" Jackson, Zoë Kravitz, Emily Meade, Ethan Peck, Emma Roberts, Charlie Saxton, Kiefer Sutherland (narrator), Ellen Barkin,Jermaine Crawford, Billy Magnussen, Nico Tortorella, Isiah Whitlock, Jr.",Drama,Hannover House. Based on the novel of the same name by Nick McDonell.
Unstoppable,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson",Action thriller,20th Century Fox
Valentine's Day,Garry Marshall,"Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper, Eric Dane, Patrick Dempsey, Héctor Elizondo, Jamie Foxx, Jennifer Garner, Topher Grace, Anne Hathaway, Ashton Kutcher, Queen Latifah, Taylor Lautner, George Lopez, Shirley MacLaine, Emma Roberts, Julia Roberts, Taylor Swift",Romantic comedy,New Line Cinema
Vampires Suck,Jason Friedberg and Aaron Seltzer,"Matt Lanter, Chris Riggi, Jenn Proske, Annelise van der Pol, Ken Jeong",Spoof,Regency Enterprises
Waiting for Superman,Davis Guggenheim,The analyzation of the failing American public education system.,Documentary,"Paramount Vantage,Participant Media,Walden Media"
Wall Street: Money Never Sleeps,Oliver Stone,"Michael Douglas, Shia LaBeouf, Josh Brolin, Carey Mulligan, Eli Wallach, Susan Sarandon,Frank Langella, Vanessa Ferlito, Charlie Sheen",Drama,20th Century Fox
,,,,Preceded by Wall Street(1987)
Welcome to the Rileys,Jake Scott,"James Gandolfini, Kristen Stewart, Melissa Leo, Ally Sheedy",Drama,"Samuel Goldwyn Films,Destination Films"
What If...,Dallas Jenkins,"Kevin Sorbo, Kristy Swanson, Debby Ryan, John Ratzenberger",Comedy-drama,Pure Flix Entertainment
What's Wrong with Virginia,Dustin Lance Black,"Jennifer Connelly, Ed Harris, Emma Roberts, Carrie Preston, Toby Jones",Drama,"TicTock Studios, Killer Films"
When in Rome,Mark Steven Johnson,"Kristen Bell, Josh Duhamel, Will Arnett, Jon Heder, Dax Shepard, Danny DeVito, Anjelica Huston",Romantic comedy,Touchstone Pictures
Why Did I Get Married Too?,Tyler Perry,"Tyler Perry, Janet Jackson, Jill Scott, Malik Yoba, Richard T. Jones, Michael Jai White, Lamman Rucker, Sharon Leal, Tasha Smith, Denise Boutte, Keyshia Cole, Cicely Tyson, Louis Gossett, Jr.",Comedy-drama,Lionsgate
,,,,Preceded by Why Did I Get Married? (2007)
Winnebago Man,Ben Steinbauer,The Jack Rebney-Winnebago outtakes internet phenomenon and its impact on people and the person itself.,Documentary,Kino International
Winter's Bone,Debra Granik,"Jennifer Lawrence, John Hawkes, Kevin Breznahan, Dale Dickey, Garret Dillahunt, Sheryl Lee, Shelley Waggener, Laura Sweetser","Drama,Suspense thriller",Roadside Attractions. Based on the novel of the same name by Daniel Woodrell
The Wolfman,Joe Johnston,"Benicio del Toro, Anthony Hopkins, Emily Blunt, Hugo Weaving",Horror,"Universal Pictures,Relativity Media"
,,,,Based on the 1941 film of the same name
Wonderful World,Joshua Goldin,"Matthew Broderick, Sanaa Lathan, Michael Kenneth Williams, Jodelle Ferland, Jesse Tyler Ferguson, Ally Walker, Philip Baker Hall","Comedy-drama, Romance",Magnolia Pictures
Yogi Bear,Eric Brevig,"Dan Aykroyd, Justin Timberlake, Anna Faris, Tom Cavanagh, T. J. Miller","Family, Live-action",Warner Bros. Pictures
,,,,Based on the characterscreated by Hanna-Barbera Productions
You Again,Andy Fickman,"Kristen Bell, Jamie Lee Curtis, Sigourney Weaver, Odette Yustman, Kristin Chenoweth, Victor Garber, Betty White, Kyle Bornheimer, Christine Lakin, Cloris Leachman",Comedy,Touchstone Pictures
You Will Meet a Tall Dark Stranger,Woody Allen,"Antonio Banderas, Josh Brolin, Anthony Hopkins, Gemma Jones, Freida Pinto, Lucy Punch,Naomi Watts",Dramedy,Sony Pictures Classics
Youth in Revolt,Miguel Arteta,"Michael Cera, Portia Doubleday, Jean Smart, Mary Kay Place, Justin Long, Ray Liotta, Steve Buscemi, Zack Galifianakis, Ari Graynor, Fred Willard",Comedy-drama,Dimension Films
,,,,Based on the novel of the same name by C. D. Payne
2011-11-11,Darren Lynn Bousman,"Timothy Gibbs, Michael Landes, Wendy Glenn, Benjamin Cook, Lolo Herrero, Salome Jimenez,Brendan Price, Denis Rafter, Angela Rosal, Lluis Soler",Horror thriller,"Big Air Studios, Rocket Releasing"
35 and Ticking,Russ Parr,"Tamala Jones, Nicole Ari Parker, Keith Robinson, Darius McCrary, Dondre Whitfield, Jill Marie Jones,Wendy Raquel Robinson, with Kevin Hart and Meagan Good",Romantic comedy,Image Entertainment
50/50,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard and Anjelica Huston",Comedy-drama,"Summit Entertainment,Mandate Pictures"
Abduction,John Singleton,"Taylor Lautner, Lily Collins, Alfred Molina, Jason Isaacs, Maria Bello and Sigourney Weaver",Action thriller,Lionsgate
The Adjustment Bureau,George Nolfi,"Matt Damon, Emily Blunt, Anthony Mackie, Shoreh Aghdashloo, John Slattery, Michael Kelly, Anthony Ruivivar, Terence Stamp","Romance, Science fiction, Thriller","Universal Pictures, Media Rights Capital"
,,,,Based onAdjustment Teamby Philip K. Dick
The Adventures of Tintin,Steven Spielberg,"Jamie Bell, Andy Serkis, Daniel Craig, Simon Pegg, Nick Frost, Tony Curran, Toby Jones, Gad Elmaleh, Mackenzie Crook, Daniel Mays, Kim Stengel, Sebastian Roché, Cary Elwes, Phillip Rhys,Ron Bottitta","Action-adventure, Fantasy","Paramount Pictures,Columbia Pictures, Amblin Entertainment,The Kennedy/Marshall Company,Nickelodeon Movies, WingNut Films"
,,,,Based on the comic books of the same namecreated by Hergé
African Cats,"Alastair Fothergill,Keith Scholey",Centers around two families of lions and cheetahs who teach their cubs the ways of the wild in surviving the African savannah. Narrated by Samuel L. Jackson,Nature documentary,Disneynature
Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long (voice), Matthew Gray Gubler (voice), Jesse McCartney (voice), Christina Applegate (voice), Anna Faris (voice), Amy Poehler (voice), Alan Tudyk(voice)","Family, Live-action",20th Century Fox
,,,,Preceded by Alvin and the Chipmunks: The Squeakquel(2009)
Another Earth,Mike Cahill,"William Mapother, Brit Marling","Fantasy, Sci-fi drama",Fox Searchlight Pictures
Apollo 18,Gonzalo Lopez-Gallego,"Lloyd Owen, Warren Christie","Horror, Science fiction",Dimension Films
The Art of Getting By,Gavin Wiesen,"Freddie Highmore, Emma Roberts, Michael Angarano, Elizabeth Reaser, Sam Robards, Alicia Silverstone, with Rita Wilson and Blair Underwood","Romantic comedy, Teen",Fox Searchlight Pictures
Arthur,Jason Winer,"Russell Brand, Helen Mirren, Greta Gerwig and Jennifer Garner, Nick Nolte, Luis Guzmán",Comedy,Warner Bros. Pictures
,,,,Remake of the1981 film of the same name
Arthur Christmas,Sarah Smith,"James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent, Imelda Staunton, Ashley Jensen, Will Sasso,Ramona Marquez, Iain McKee, Joan Cusack, Robbie Coltrane, Michael Palin, Dominic West, Andy Serkis","Animated, Family, Fantasy","Columbia Pictures, Sony Pictures Animation,Aardman Animations"
Atlas Shrugged: Part I,Paul Johansson,"Taylor Schilling, Grant Bowler, Matthew Marsden, Edi Gathegi, Graham Beckel, Jsu Garcia, Jon Polito, Michael Lerner","Drama,Political thriller",Rocky Mountain Pictures
,,,,Based on the novel of the same name by Ayn Rand
Bad Teacher,Jake Kasdan,"Cameron Diaz, Jason Segel, Justin Timberlake, Lucy Punch, John Michael Higgins",Comedy,Columbia Pictures
